technology,scenario,year,locs,unit,flow_out_winter_peak
roof_mounted_pv,climate_neutrality,2050,FRA,twh,1.5895651224590153e-05
roof_mounted_pv,climate_neutrality,2050,GBR,twh,5.5833269520096e-06
roof_mounted_pv,climate_neutrality,2050,GRC,twh,3.5019971425989994e-06
roof_mounted_pv,climate_neutrality,2050,HRV,twh,4.96861491462681e-07
roof_mounted_pv,climate_neutrality,2050,HUN,twh,9.175324264229913e-07
roof_mounted_pv,climate_neutrality,2050,IRL,twh,1.2302444879413422e-06
roof_mounted_pv,climate_neutrality,2050,ITA,twh,8.691516153408365e-06
roof_mounted_pv,climate_neutrality,2050,LTU,twh,9.977989667880266e-07
roof_mounted_pv,climate_neutrality,2050,LUX,twh,1.1362611313990457e-06
roof_mounted_pv,climate_neutrality,2050,LVA,twh,7.640213257945606e-07
roof_mounted_pv,climate_neutrality,2050,NLD,twh,1.2773701530644997e-06
roof_mounted_pv,climate_neutrality,2050,POL,twh,5.793019964590446e-06
roof_mounted_pv,climate_neutrality,2050,PRT,twh,2.864836421094699e-06
roof_mounted_pv,climate_neutrality,2050,ROU,twh,3.3923374626554335e-06
roof_mounted_pv,climate_neutrality,2050,SVK,twh,1.183041865692181e-06
roof_mounted_pv,climate_neutrality,2050,SVN,twh,1.1178083873244953e-06
roof_mounted_pv,climate_neutrality,2050,SWE,twh,2.5660148220984945e-06
wind_onshore,climate_neutrality,2050,AUT,twh,0.17727840898229125
wind_onshore,climate_neutrality,2050,BEL,twh,0.04642935780463384
wind_onshore,climate_neutrality,2050,BGR,twh,2.4438206619498734e-05
wind_onshore,climate_neutrality,2050,CYP,twh,0.009839188194491772
wind_onshore,climate_neutrality,2050,CZE,twh,0.0007910038359515363
wind_onshore,climate_neutrality,2050,DEU,twh,0.43184563173459906
wind_onshore,climate_neutrality,2050,DNK,twh,0.24705102119836986
wind_onshore,climate_neutrality,2050,ESP,twh,0.1424326557543092
wind_onshore,climate_neutrality,2050,EST,twh,0.08422198378449904
wind_onshore,climate_neutrality,2050,FIN,twh,0.08870266260577564
wind_onshore,climate_neutrality,2050,FRA,twh,0.38139974028974766
wind_onshore,climate_neutrality,2050,GBR,twh,0.952976798468641
wind_onshore,climate_neutrality,2050,GRC,twh,0.00018238555499195403
wind_onshore,climate_neutrality,2050,HRV,twh,8.149481383004408e-05
wind_onshore,climate_neutrality,2050,HUN,twh,0.1791181429567017
wind_onshore,climate_neutrality,2050,IRL,twh,0.27600505472714076
wind_onshore,climate_neutrality,2050,ITA,twh,0.17605615542347638
wind_onshore,climate_neutrality,2050,LTU,twh,0.00010854257914438817
wind_onshore,climate_neutrality,2050,LUX,twh,0.011262077587067265
wind_onshore,climate_neutrality,2050,LVA,twh,5.141557426422914e-05
wind_onshore,climate_neutrality,2050,NLD,twh,0.15954361336246187
wind_onshore,climate_neutrality,2050,POL,twh,0.2322751812251064
wind_onshore,climate_neutrality,2050,PRT,twh,0.40912443556462696
wind_onshore,climate_neutrality,2050,ROU,twh,0.2629655192142728
wind_onshore,climate_neutrality,2050,SVK,twh,0.0001667777343129358
wind_onshore,climate_neutrality,2050,SVN,twh,1.6052681846298872e-05
wind_onshore,climate_neutrality,2050,SWE,twh,0.11499297857350657
wind_offshore,climate_neutrality,2050,BEL,twh,5.655872987578895e-06
wind_offshore,climate_neutrality,2050,BGR,twh,3.662269205884915e-06
wind_offshore,climate_neutrality,2050,CYP,twh,1.731726044983462e-06
wind_offshore,climate_neutrality,2050,DEU,twh,2.0296611137008136e-05
wind_offshore,climate_neutrality,2050,DNK,twh,7.726717089727291e-06
wind_offshore,climate_neutrality,2050,ESP,twh,2.6548970321394486e-05
wind_offshore,climate_neutrality,2050,EST,twh,2.901719511590153e-06
wind_offshore,climate_neutrality,2050,FIN,twh,6.422824612051447e-06
wind_offshore,climate_neutrality,2050,FRA,twh,6.521650088074081e-05
wind_offshore,climate_neutrality,2050,GBR,twh,0.00015090659331200182
wind_offshore,climate_neutrality,2050,GRC,twh,9.445208378565922e-06
wind_offshore,climate_neutrality,2050,HRV,twh,2.67191731732215e-06
wind_offshore,climate_neutrality,2050,IRL,twh,1.0187154321604133e-05
wind_offshore,climate_neutrality,2050,ITA,twh,2.5145731977318846e-05
wind_offshore,climate_neutrality,2050,LTU,twh,1.5933818667813043e-05
wind_offshore,climate_neutrality,2050,LVA,twh,5.001764269928909e-06
wind_offshore,climate_neutrality,2050,NLD,twh,2.271923385833548e-05
wind_offshore,climate_neutrality,2050,POL,twh,1.5056078258549678e-05
wind_offshore,climate_neutrality,2050,PRT,twh,1.0246282297310677e-05
wind_offshore,climate_neutrality,2050,ROU,twh,3.6071367439619047e-06
wind_offshore,climate_neutrality,2050,SVN,twh,2.120061397201369e-06
wind_offshore,climate_neutrality,2050,SWE,twh,1.2195023771273305e-05
hydro_reservoir,climate_neutrality,2050,AUT,twh,0.010242801367143478
hydro_reservoir,climate_neutrality,2050,BEL,twh,2.5469484002792465e-05
hydro_reservoir,climate_neutrality,2050,BGR,twh,0.002968994697336345
hydro_reservoir,climate_neutrality,2050,CZE,twh,0.0014229623921501555
hydro_reservoir,climate_neutrality,2050,DEU,twh,0.0004055937503308381
hydro_reservoir,climate_neutrality,2050,ESP,twh,0.017447058237719935
hydro_reservoir,climate_neutrality,2050,FIN,twh,0.002689993738254114
hydro_reservoir,climate_neutrality,2050,FRA,twh,0.018584927495801224
hydro_reservoir,climate_neutrality,2050,GBR,twh,0.0009179973948585255
hydro_reservoir,climate_neutrality,2050,GRC,twh,0.005172394381322374
hydro_reservoir,climate_neutrality,2050,HRV,twh,0.002644805620346978
hydro_reservoir,climate_neutrality,2050,HUN,twh,5.5997695903479007e-05
hydro_reservoir,climate_neutrality,2050,IRL,twh,1.9982844428265154e-06
hydro_reservoir,climate_neutrality,2050,ITA,twh,0.009304886551040982
hydro_reservoir,climate_neutrality,2050,LTU,twh,0.00020199678549744372
hydro_reservoir,climate_neutrality,2050,LVA,twh,0.0017379875403718149
hydro_reservoir,climate_neutrality,2050,POL,twh,0.0006408994050375383
hydro_reservoir,climate_neutrality,2050,PRT,twh,0.0039307958150113335
hydro_reservoir,climate_neutrality,2050,ROU,twh,0.010546946900728429
hydro_reservoir,climate_neutrality,2050,SVK,twh,0.0015839967824676903
hydro_reservoir,climate_neutrality,2050,SVN,twh,0.00044557728654837266
hydro_reservoir,climate_neutrality,2050,SWE,twh,0.02290811503272771
hydro_run_of_river,climate_neutrality,2050,AUT,twh,0.003886995971233318
hydro_run_of_river,climate_neutrality,2050,BEL,twh,0.00011791986013096682
hydro_run_of_river,climate_neutrality,2050,BGR,twh,4.461681002831679e-05
hydro_run_of_river,climate_neutrality,2050,CZE,twh,3.910917116558601e-05
hydro_run_of_river,climate_neutrality,2050,DEU,twh,0.005065443624216593
hydro_run_of_river,climate_neutrality,2050,FIN,twh,0.0020012562258196263
hydro_run_of_river,climate_neutrality,2050,FRA,twh,0.005351803694672423
hydro_run_of_river,climate_neutrality,2050,GBR,twh,0.001370097525208998
hydro_run_of_river,climate_neutrality,2050,GRC,twh,0.00022025887604779502
hydro_run_of_river,climate_neutrality,2050,HRV,twh,0.0005570531664552032
hydro_run_of_river,climate_neutrality,2050,HUN,twh,3.895878546541384e-05
hydro_run_of_river,climate_neutrality,2050,IRL,twh,0.0004316322323392982
hydro_run_of_river,climate_neutrality,2050,ITA,twh,0.011491649285896372
hydro_run_of_river,climate_neutrality,2050,LVA,twh,0.0005418494334136791
hydro_run_of_river,climate_neutrality,2050,POL,twh,2.743128283199509e-05
hydro_run_of_river,climate_neutrality,2050,PRT,twh,0.0027056470060404245
hydro_run_of_river,climate_neutrality,2050,ROU,twh,0.001060817383283328
hydro_run_of_river,climate_neutrality,2050,SVK,twh,0.0012156898135271715
hydro_run_of_river,climate_neutrality,2050,SVN,twh,0.001631070567500658
hydro_run_of_river,climate_neutrality,2050,SWE,twh,0.002716579948364211
nuclear,climate_neutrality,2050,BGR,twh,1.2209791957362134e-06
nuclear,climate_neutrality,2050,CZE,twh,0.012460034927037636
nuclear,climate_neutrality,2050,FIN,twh,1.28032438390104e-06
nuclear,climate_neutrality,2050,FRA,twh,0.04400133071459773
nuclear,climate_neutrality,2050,GBR,twh,0.017799992937556575
nuclear,climate_neutrality,2050,HUN,twh,0.004799997746431237
nuclear,climate_neutrality,2050,ROU,twh,0.0013000652399687085
nuclear,climate_neutrality,2050,SVK,twh,0.001880024313227878
battery,climate_neutrality,2050,AUT,twh,0.008277467170625455
battery,climate_neutrality,2050,BEL,twh,0.002781839017287514
battery,climate_neutrality,2050,BGR,twh,0.002835735249022509
battery,climate_neutrality,2050,CYP,twh,5.0616325126053356e-05
battery,climate_neutrality,2050,CZE,twh,0.002559473977950954
battery,climate_neutrality,2050,DEU,twh,0.015755093084268576
battery,climate_neutrality,2050,DNK,twh,5.073954170802073e-05
battery,climate_neutrality,2050,ESP,twh,0.013898792641666793
battery,climate_neutrality,2050,EST,twh,3.2464012955453204e-05
battery,climate_neutrality,2050,FIN,twh,6.210114898908834e-05
battery,climate_neutrality,2050,FRA,twh,0.06072274670386728
battery,climate_neutrality,2050,GBR,twh,0.006299494652836694
battery,climate_neutrality,2050,GRC,twh,0.0016644968750182147
battery,climate_neutrality,2050,HRV,twh,0.0031583042146572067
battery,climate_neutrality,2050,HUN,twh,0.003682707632404065
battery,climate_neutrality,2050,IRL,twh,0.0007170182675268603
battery,climate_neutrality,2050,ITA,twh,0.10444656440513672
battery,climate_neutrality,2050,LTU,twh,0.0018454111403249857
battery,climate_neutrality,2050,LUX,twh,0.002729500263950539
battery,climate_neutrality,2050,LVA,twh,3.0248013190875176e-05
battery,climate_neutrality,2050,NLD,twh,0.0002366789774774424
battery,climate_neutrality,2050,POL,twh,0.00408189581904381
battery,climate_neutrality,2050,PRT,twh,0.005992192000096542
battery,climate_neutrality,2050,ROU,twh,0.0005059831143223606
battery,climate_neutrality,2050,SVK,twh,0.0021167195056489133
battery,climate_neutrality,2050,SVN,twh,0.0013498832670509695
battery,climate_neutrality,2050,SWE,twh,0.0009645028031866272
heat_storage_big,climate_neutrality,2050,AUT,twh,0.03997650509662978
