scenario,year,region,unit,value
climate_neutrality,2050,AUT,twh,1.135727129345194e-05
climate_neutrality,2050,BEL,twh,3.042578118932329e-06
climate_neutrality,2050,BGR,twh,8.105120189158208e-06
climate_neutrality,2050,CYP,twh,0.0010547586014970603
climate_neutrality,2050,CZE,twh,6.243987843656736e-06
climate_neutrality,2050,DEU,twh,2.3673753625686502e-05
climate_neutrality,2050,DNK,twh,0.016706028111888524
climate_neutrality,2050,ESP,twh,0.003819943852556534
climate_neutrality,2050,EST,twh,0.01105144733333859
climate_neutrality,2050,FIN,twh,1.0152654846473607e-05
climate_neutrality,2050,FRA,twh,0.003997496101326935
climate_neutrality,2050,GBR,twh,0.15907509559763686
climate_neutrality,2050,GRC,twh,1.1169156449449954e-05
climate_neutrality,2050,HRV,twh,4.733057205175148e-06
climate_neutrality,2050,HUN,twh,8.521493511833323e-06
climate_neutrality,2050,IRL,twh,0.043891289438201794
climate_neutrality,2050,ITA,twh,0.00833938574202886
climate_neutrality,2050,LTU,twh,4.105589022193531e-06
climate_neutrality,2050,LUX,twh,1.8169724204164817e-06
climate_neutrality,2050,LVA,twh,7.151658000000903e-06
climate_neutrality,2050,NLD,twh,3.566670392124621e-06
climate_neutrality,2050,POL,twh,3.5083907584652387e-05
climate_neutrality,2050,PRT,twh,0.07789724190265887
climate_neutrality,2050,ROU,twh,0.030199458152334602
climate_neutrality,2050,SVK,twh,3.801769188654656e-06
climate_neutrality,2050,SVN,twh,4.934184830713964e-06
climate_neutrality,2050,SWE,twh,0.006795103672013384
