scenario,year,region,unit,value
climate_neutrality,2050,AUT,twh,6.346938960476629e-06
climate_neutrality,2050,BEL,twh,1.647706363299899e-06
climate_neutrality,2050,BGR,twh,3.4343336011295746e-06
climate_neutrality,2050,CYP,twh,2.2259639735551107e-06
climate_neutrality,2050,CZE,twh,4.841295386039469e-06
climate_neutrality,2050,DEU,twh,1.521441216877571e-05
climate_neutrality,2050,DNK,twh,5.381972884609223e-06
climate_neutrality,2050,ESP,twh,2.218299124145333e-05
climate_neutrality,2050,EST,twh,5.652483036710344e-06
climate_neutrality,2050,FIN,twh,8.269788292130732e-06
climate_neutrality,2050,FRA,twh,2.8939368794794293e-05
climate_neutrality,2050,GBR,twh,1.002921303867787e-05
climate_neutrality,2050,GRC,twh,4.0985222316001115e-06
climate_neutrality,2050,HRV,twh,1.684838183261099e-06
climate_neutrality,2050,HUN,twh,2.5361924170215776e-06
climate_neutrality,2050,IRL,twh,1.3148760772745264e-06
climate_neutrality,2050,ITA,twh,8.195464348241546e-06
climate_neutrality,2050,LTU,twh,3.699937724980025e-06
climate_neutrality,2050,LUX,twh,1.6850375010472127e-06
climate_neutrality,2050,LVA,twh,3.1798358697321084e-06
climate_neutrality,2050,NLD,twh,1.5702003940650574e-06
climate_neutrality,2050,POL,twh,1.4925340445539549e-05
climate_neutrality,2050,PRT,twh,3.176382728930142e-06
climate_neutrality,2050,ROU,twh,1.0656222502340159e-05
climate_neutrality,2050,SVK,twh,2.378604689469832e-06
climate_neutrality,2050,SVN,twh,1.7886590781083215e-06
climate_neutrality,2050,SWE,twh,1.2578774563756508e-05
