technology,scenario,year,locs,unit,flow_out_25
ccgt,climate_neutrality,2050,AUT,twh,4.0237812317247915e-07
ccgt,climate_neutrality,2050,BEL,twh,1.3038326095615435e-07
ccgt,climate_neutrality,2050,BGR,twh,1.3741278832637917e-07
ccgt,climate_neutrality,2050,CYP,twh,1.1684588572946006e-07
ccgt,climate_neutrality,2050,CZE,twh,2.603527557486333e-07
ccgt,climate_neutrality,2050,DEU,twh,9.554909031563192e-07
ccgt,climate_neutrality,2050,DNK,twh,2.613659554377606e-07
ccgt,climate_neutrality,2050,ESP,twh,1.4193448145319653e-06
ccgt,climate_neutrality,2050,EST,twh,1.1675328968528047e-07
ccgt,climate_neutrality,2050,FIN,twh,2.685459796435738e-07
ccgt,climate_neutrality,2050,FRA,twh,2.0876675789953843e-06
ccgt,climate_neutrality,2050,GBR,twh,8.042141709239482e-07
ccgt,climate_neutrality,2050,GRC,twh,2.561375504849829e-07
ccgt,climate_neutrality,2050,HRV,twh,1.3631820147181395e-07
ccgt,climate_neutrality,2050,HUN,twh,1.3841185040340187e-07
ccgt,climate_neutrality,2050,IRL,twh,1.1588716779573968e-07
ccgt,climate_neutrality,2050,ITA,twh,8.073625943331763e-07
ccgt,climate_neutrality,2050,LTU,twh,1.2987103097446266e-07
ccgt,climate_neutrality,2050,LUX,twh,1.3009795355654905e-07
ccgt,climate_neutrality,2050,LVA,twh,1.3606596792074324e-07
ccgt,climate_neutrality,2050,NLD,twh,1.320020844763904e-07
ccgt,climate_neutrality,2050,POL,twh,6.84921867533897e-07
ccgt,climate_neutrality,2050,PRT,twh,2.5117806257578114e-07
ccgt,climate_neutrality,2050,ROU,twh,4.1478032642661834e-07
ccgt,climate_neutrality,2050,SVK,twh,1.3403497470995875e-07
ccgt,climate_neutrality,2050,SVN,twh,1.293869478437488e-07
ccgt,climate_neutrality,2050,SWE,twh,5.540059145634769e-07
gas_hob,climate_neutrality,2050,AUT,twh,2.3233644384312436e-06
gas_hob,climate_neutrality,2050,BEL,twh,7.656796429860946e-07
gas_hob,climate_neutrality,2050,BGR,twh,9.703551292391397e-07
gas_hob,climate_neutrality,2050,CYP,twh,7.695298569849042e-07
gas_hob,climate_neutrality,2050,CZE,twh,1.48789436298038e-06
gas_hob,climate_neutrality,2050,DEU,twh,5.460385902108527e-06
gas_hob,climate_neutrality,2050,DNK,twh,1.4270372454378122e-06
gas_hob,climate_neutrality,2050,ESP,twh,7.623691753697302e-06
gas_hob,climate_neutrality,2050,EST,twh,7.872515203992206e-07
gas_hob,climate_neutrality,2050,FIN,twh,1.6760189502792975e-06
gas_hob,climate_neutrality,2050,FRA,twh,1.1178677637172331e-05
gas_hob,climate_neutrality,2050,GBR,twh,4.506507031088361e-06
gas_hob,climate_neutrality,2050,GRC,twh,1.5103899632480012e-06
gas_hob,climate_neutrality,2050,HRV,twh,7.587688738927304e-07
gas_hob,climate_neutrality,2050,HUN,twh,8.55747220474105e-07
gas_hob,climate_neutrality,2050,IRL,twh,7.118463382824918e-07
gas_hob,climate_neutrality,2050,ITA,twh,4.279329794505649e-06
gas_hob,climate_neutrality,2050,LTU,twh,7.946476755102897e-07
gas_hob,climate_neutrality,2050,LUX,twh,7.138402192594025e-07
gas_hob,climate_neutrality,2050,LVA,twh,7.469977280297419e-07
gas_hob,climate_neutrality,2050,NLD,twh,7.445579924783406e-07
gas_hob,climate_neutrality,2050,POL,twh,4.199194641857772e-06
gas_hob,climate_neutrality,2050,PRT,twh,1.3283097390334543e-06
gas_hob,climate_neutrality,2050,ROU,twh,2.7443609023120395e-06
gas_hob,climate_neutrality,2050,SVK,twh,7.495998837563574e-07
gas_hob,climate_neutrality,2050,SVN,twh,7.159425197205043e-07
gas_hob,climate_neutrality,2050,SWE,twh,3.2227468485936966e-06
open_field_pv,climate_neutrality,2050,AUT,twh,0.0030393020085838487
open_field_pv,climate_neutrality,2050,BEL,twh,8.05860171707983e-05
open_field_pv,climate_neutrality,2050,BGR,twh,0.007942516378521404
open_field_pv,climate_neutrality,2050,CYP,twh,0.0017845835063159117
