scenario,year,region,unit,value
climate_neutrality,2050,AUT,tw,8.421456140422725e-06
climate_neutrality,2050,BEL,tw,2.2782215435667853e-06
climate_neutrality,2050,BGR,tw,4.115926596283638e-06
climate_neutrality,2050,CYP,tw,4.0620655058246486e-06
climate_neutrality,2050,CZE,tw,6.324751407970504e-06
climate_neutrality,2050,DEU,tw,1.9066567047858433e-05
climate_neutrality,2050,DNK,tw,5.45735868675205e-06
climate_neutrality,2050,ESP,tw,3.012274839849226e-05
climate_neutrality,2050,EST,tw,5.651785537361535e-06
climate_neutrality,2050,FIN,tw,9.126117149330415e-06
climate_neutrality,2050,FRA,tw,3.9139247026636335e-05
climate_neutrality,2050,GBR,tw,1.4036031788190292e-05
climate_neutrality,2050,GRC,tw,5.937821254636138e-06
climate_neutrality,2050,HRV,tw,2.553487455217707e-06
climate_neutrality,2050,HUN,tw,3.5415066902751153e-06
climate_neutrality,2050,IRL,tw,2.472532390137931e-06
climate_neutrality,2050,ITA,tw,1.3233868731642453e-05
climate_neutrality,2050,LTU,tw,4.056354166765035e-06
climate_neutrality,2050,LUX,tw,2.694526025649722e-06
climate_neutrality,2050,LVA,tw,3.737197455663465e-06
climate_neutrality,2050,NLD,tw,2.0924138590991673e-06
climate_neutrality,2050,POL,tw,1.8787455212558293e-05
climate_neutrality,2050,PRT,tw,5.117260964215355e-06
climate_neutrality,2050,ROU,tw,1.2559568814090013e-05
climate_neutrality,2050,SVK,tw,3.1930739267526663e-06
climate_neutrality,2050,SVN,tw,2.650241739595188e-06
climate_neutrality,2050,SWE,tw,1.4280035031784884e-05
