scenario,year,region,unit,value
climate_neutrality,2050,AUT,twh,6.255554922954601e-06
climate_neutrality,2050,BEL,twh,1.538256412074355e-06
climate_neutrality,2050,BGR,twh,5.126075266786699e-06
climate_neutrality,2050,CYP,twh,0.001053713725928733
climate_neutrality,2050,CZE,twh,3.2451279131335597e-06
climate_neutrality,2050,DEU,twh,1.3062825763282674e-05
climate_neutrality,2050,DNK,twh,0.01670407768334802
climate_neutrality,2050,ESP,twh,0.0002136858318363453
climate_neutrality,2050,EST,twh,0.008180067689930296
climate_neutrality,2050,FIN,twh,7.889500627079856e-06
climate_neutrality,2050,FRA,twh,6.508071536457561e-05
climate_neutrality,2050,GBR,twh,0.1063026463505608
climate_neutrality,2050,GRC,twh,7.220051431388362e-06
climate_neutrality,2050,HRV,twh,2.541327917802741e-06
climate_neutrality,2050,HUN,twh,5.093137146120917e-06
climate_neutrality,2050,IRL,twh,0.0438900162784696
climate_neutrality,2050,ITA,twh,0.0001853627094307288
climate_neutrality,2050,LTU,twh,2.494372655940834e-06
climate_neutrality,2050,LUX,twh,1.236100076413797e-06
climate_neutrality,2050,LVA,twh,4.418865397416104e-06
climate_neutrality,2050,NLD,twh,2.001369793783315e-06
climate_neutrality,2050,POL,twh,2.0256700909390444e-05
climate_neutrality,2050,PRT,twh,0.05919223159094952
climate_neutrality,2050,ROU,twh,0.026447069103037058
climate_neutrality,2050,SVK,twh,2.1577097532982283e-06
climate_neutrality,2050,SVN,twh,2.5130683353894523e-06
climate_neutrality,2050,SWE,twh,0.006770726407486808
