scenario,year,region,unit,value
climate_neutrality,2050,AUT,twh,1.6819316203493188e-05
climate_neutrality,2050,BEL,twh,4.547374932531456e-06
climate_neutrality,2050,BGR,twh,8.229778648378673e-06
climate_neutrality,2050,CYP,twh,8.119823857564551e-06
climate_neutrality,2050,CZE,twh,1.2642554748971171e-05
climate_neutrality,2050,DEU,twh,3.805193124660547e-05
climate_neutrality,2050,DNK,twh,1.0875607590216477e-05
climate_neutrality,2050,ESP,twh,6.00547066673174e-05
climate_neutrality,2050,EST,twh,1.1299869710210572e-05
climate_neutrality,2050,FIN,twh,1.822584773828127e-05
climate_neutrality,2050,FRA,twh,7.807848935465125e-05
climate_neutrality,2050,GBR,twh,2.7979743693350617e-05
climate_neutrality,2050,GRC,twh,1.1869691330955816e-05
climate_neutrality,2050,HRV,twh,5.1057571070459e-06
climate_neutrality,2050,HUN,twh,7.080758588259193e-06
climate_neutrality,2050,IRL,twh,4.9412216874419325e-06
climate_neutrality,2050,ITA,twh,2.6100089194447757e-05
climate_neutrality,2050,LTU,twh,8.108419538628682e-06
climate_neutrality,2050,LUX,twh,5.3820299132296474e-06
climate_neutrality,2050,LVA,twh,7.471956069459917e-06
climate_neutrality,2050,NLD,twh,4.173052910481708e-06
climate_neutrality,2050,POL,twh,3.750497537066004e-05
climate_neutrality,2050,PRT,twh,1.0221276311612816e-05
climate_neutrality,2050,ROU,twh,2.5053887864241894e-05
climate_neutrality,2050,SVK,twh,6.383246812423589e-06
climate_neutrality,2050,SVN,twh,5.294943555250169e-06
climate_neutrality,2050,SWE,twh,2.8431194631449415e-05
