technology,scenario,year,locs,unit,flow_out_sum
roof_mounted_pv,climate_neutrality,2050,BGR,twh,0.001636186116881473
roof_mounted_pv,climate_neutrality,2050,CYP,twh,0.0020963851652276194
roof_mounted_pv,climate_neutrality,2050,CZE,twh,0.003390831604018943
roof_mounted_pv,climate_neutrality,2050,DEU,twh,0.01079316447089202
roof_mounted_pv,climate_neutrality,2050,DNK,twh,0.003061751130922826
roof_mounted_pv,climate_neutrality,2050,ESP,twh,0.02081601373596556
roof_mounted_pv,climate_neutrality,2050,EST,twh,0.0011553172240641083
roof_mounted_pv,climate_neutrality,2050,FIN,twh,0.0020181794368116625
roof_mounted_pv,climate_neutrality,2050,FRA,twh,0.024345065127684633
roof_mounted_pv,climate_neutrality,2050,GBR,twh,0.008226872502647933
roof_mounted_pv,climate_neutrality,2050,GRC,twh,0.004091839666288401
roof_mounted_pv,climate_neutrality,2050,HRV,twh,0.0007284216361497387
roof_mounted_pv,climate_neutrality,2050,HUN,twh,0.0013882574978387407
roof_mounted_pv,climate_neutrality,2050,IRL,twh,0.0014508256008216684
roof_mounted_pv,climate_neutrality,2050,ITA,twh,0.010914472507254918
roof_mounted_pv,climate_neutrality,2050,LTU,twh,0.00140300123995451
roof_mounted_pv,climate_neutrality,2050,LUX,twh,0.001321278154143694
roof_mounted_pv,climate_neutrality,2050,LVA,twh,0.0012193679966362473
roof_mounted_pv,climate_neutrality,2050,NLD,twh,0.001527134880435022
roof_mounted_pv,climate_neutrality,2050,POL,twh,0.008059258362618355
roof_mounted_pv,climate_neutrality,2050,PRT,twh,0.0037729237070395823
roof_mounted_pv,climate_neutrality,2050,ROU,twh,0.004436399919400135
roof_mounted_pv,climate_neutrality,2050,SVK,twh,0.0017721273416775058
roof_mounted_pv,climate_neutrality,2050,SVN,twh,0.0014733696515757057
roof_mounted_pv,climate_neutrality,2050,SWE,twh,0.0045420515502825
wind_onshore,climate_neutrality,2050,AUT,twh,260.57725437025147
wind_onshore,climate_neutrality,2050,BEL,twh,63.59577062652035
wind_onshore,climate_neutrality,2050,BGR,twh,0.026910626950862035
wind_onshore,climate_neutrality,2050,CYP,twh,11.797806414617886
wind_onshore,climate_neutrality,2050,CZE,twh,0.9700480496279882
wind_onshore,climate_neutrality,2050,DEU,twh,603.5666497444521
wind_onshore,climate_neutrality,2050,DNK,twh,569.6453830574746
wind_onshore,climate_neutrality,2050,ESP,twh,227.4560686180957
wind_onshore,climate_neutrality,2050,EST,twh,164.56982966077456
wind_onshore,climate_neutrality,2050,FIN,twh,139.88020861666723
wind_onshore,climate_neutrality,2050,FRA,twh,659.2372651228416
wind_onshore,climate_neutrality,2050,GBR,twh,2285.07269900289
wind_onshore,climate_neutrality,2050,GRC,twh,0.20520368964146685
wind_onshore,climate_neutrality,2050,HRV,twh,0.09578226105927737
wind_onshore,climate_neutrality,2050,HUN,twh,255.16176195550824
wind_onshore,climate_neutrality,2050,IRL,twh,628.3925081277314
wind_onshore,climate_neutrality,2050,ITA,twh,247.54051232764593
wind_onshore,climate_neutrality,2050,LTU,twh,0.11702635146785778
wind_onshore,climate_neutrality,2050,LUX,twh,15.02951354325643
wind_onshore,climate_neutrality,2050,LVA,twh,0.060162208913622874
wind_onshore,climate_neutrality,2050,NLD,twh,249.7106396691722
wind_onshore,climate_neutrality,2050,POL,twh,405.6790772895895
