scenario,year,region,unit,value
climate_neutrality,2050,AUT,twh,0.03602910679958088
climate_neutrality,2050,BEL,twh,0.009167080203516887
climate_neutrality,2050,BGR,twh,0.027085035474373107
climate_neutrality,2050,CYP,twh,4.228234255001073
climate_neutrality,2050,CZE,twh,0.01888062613066739
climate_neutrality,2050,DEU,twh,0.07313159481978534
climate_neutrality,2050,DNK,twh,68.39198265839659
climate_neutrality,2050,ESP,twh,10.041387461245908
climate_neutrality,2050,EST,twh,41.52387189606937
climate_neutrality,2050,FIN,twh,0.03684356108722248
climate_neutrality,2050,FRA,twh,11.181008493550028
climate_neutrality,2050,GBR,twh,584.3982300578232
climate_neutrality,2050,GRC,twh,0.03740087083959282
climate_neutrality,2050,HRV,twh,0.014673039623133027
climate_neutrality,2050,HUN,twh,0.028085218269712012
climate_neutrality,2050,IRL,twh,185.20967376565596
climate_neutrality,2050,ITA,twh,22.237819757121752
climate_neutrality,2050,LTU,twh,0.013138077509475921
climate_neutrality,2050,LUX,twh,0.006309753912767807
climate_neutrality,2050,LVA,twh,0.023738396462388275
climate_neutrality,2050,NLD,twh,0.011108107870572932
climate_neutrality,2050,POL,twh,0.113646044141219
climate_neutrality,2050,PRT,twh,298.53872709513706
climate_neutrality,2050,ROU,twh,118.62342603488182
climate_neutrality,2050,SVK,twh,0.011972283260964337
climate_neutrality,2050,SVN,twh,0.015250758075727702
climate_neutrality,2050,SWE,twh,27.618310983628646
