technology,scenario,year,locs,unit,total_investment_cost
open_field_pv,climate_neutrality,2050,LUX,billion_2015eur,0.0011870949257617126
open_field_pv,climate_neutrality,2050,LVA,billion_2015eur,0.0006138351158218819
open_field_pv,climate_neutrality,2050,NLD,billion_2015eur,0.001185684871552923
open_field_pv,climate_neutrality,2050,POL,billion_2015eur,0.1843211796043422
open_field_pv,climate_neutrality,2050,PRT,billion_2015eur,1.882748993997913
open_field_pv,climate_neutrality,2050,ROU,billion_2015eur,0.0014158138006230812
open_field_pv,climate_neutrality,2050,SVK,billion_2015eur,0.01630573252422168
open_field_pv,climate_neutrality,2050,SVN,billion_2015eur,0.000573447796883765
open_field_pv,climate_neutrality,2050,SWE,billion_2015eur,0.002610890721257737
roof_mounted_pv,climate_neutrality,2050,AUT,billion_2015eur,0.00039187374898606235
roof_mounted_pv,climate_neutrality,2050,BEL,billion_2015eur,0.00014894943278118762
roof_mounted_pv,climate_neutrality,2050,BGR,billion_2015eur,0.00012743524294049497
roof_mounted_pv,climate_neutrality,2050,CYP,billion_2015eur,0.00013223796435355678
roof_mounted_pv,climate_neutrality,2050,CZE,billion_2015eur,0.0002947604031238838
roof_mounted_pv,climate_neutrality,2050,DEU,billion_2015eur,0.0009760883066676999
roof_mounted_pv,climate_neutrality,2050,DNK,billion_2015eur,0.0002811024394908763
roof_mounted_pv,climate_neutrality,2050,ESP,billion_2015eur,0.0014509421287151319
roof_mounted_pv,climate_neutrality,2050,EST,billion_2015eur,0.00011923314821531883
roof_mounted_pv,climate_neutrality,2050,FIN,billion_2015eur,0.00024756354597518554
roof_mounted_pv,climate_neutrality,2050,FRA,billion_2015eur,0.002008739004155959
roof_mounted_pv,climate_neutrality,2050,GBR,billion_2015eur,0.0007999890102210105
roof_mounted_pv,climate_neutrality,2050,GRC,billion_2015eur,0.00027829619138956363
roof_mounted_pv,climate_neutrality,2050,HRV,billion_2015eur,7.021491554315565e-05
roof_mounted_pv,climate_neutrality,2050,HUN,billion_2015eur,0.00012214557526435933
roof_mounted_pv,climate_neutrality,2050,IRL,billion_2015eur,0.0001429452915298258
roof_mounted_pv,climate_neutrality,2050,ITA,billion_2015eur,0.0007882402306322136
