technology,scenario,year,locs,unit,nameplate_capacity
open_field_pv,climate_neutrality,2050,SWE,tw,9.117529770336944e-05
roof_mounted_pv,climate_neutrality,2050,AUT,tw,7.4563872827653465e-06
roof_mounted_pv,climate_neutrality,2050,BEL,tw,2.8341389522477567e-06
roof_mounted_pv,climate_neutrality,2050,BGR,tw,2.424777182182251e-06
roof_mounted_pv,climate_neutrality,2050,CYP,tw,2.5161610805925847e-06
roof_mounted_pv,climate_neutrality,2050,CZE,tw,5.60856073417126e-06
roof_mounted_pv,climate_neutrality,2050,DEU,tw,1.857254397755502e-05
roof_mounted_pv,climate_neutrality,2050,DNK,tw,5.348683499206866e-06
roof_mounted_pv,climate_neutrality,2050,ESP,tw,2.7607836617208005e-05
roof_mounted_pv,climate_neutrality,2050,EST,tw,2.268711625458738e-06
roof_mounted_pv,climate_neutrality,2050,FIN,tw,4.710521387722048e-06
roof_mounted_pv,climate_neutrality,2050,FRA,tw,3.8221330221116536e-05
roof_mounted_pv,climate_neutrality,2050,GBR,tw,1.5221810334573177e-05
roof_mounted_pv,climate_neutrality,2050,GRC,tw,5.295287545257279e-06
roof_mounted_pv,climate_neutrality,2050,HRV,tw,1.3360160119708596e-06
roof_mounted_pv,climate_neutrality,2050,HUN,tw,2.3241279019167452e-06
roof_mounted_pv,climate_neutrality,2050,IRL,tw,2.7198950086653724e-06
roof_mounted_pv,climate_neutrality,2050,ITA,tw,1.499826014541e-05
roof_mounted_pv,climate_neutrality,2050,LTU,tw,2.6021668013274426e-06
roof_mounted_pv,climate_neutrality,2050,LUX,tw,2.336625546564364e-06
roof_mounted_pv,climate_neutrality,2050,LVA,tw,2.345001485031028e-06
roof_mounted_pv,climate_neutrality,2050,NLD,tw,2.5727908516400813e-06
roof_mounted_pv,climate_neutrality,2050,POL,tw,1.3700330015821302e-05
roof_mounted_pv,climate_neutrality,2050,PRT,tw,4.952015406919335e-06
roof_mounted_pv,climate_neutrality,2050,ROU,tw,7.2631351932767435e-06
roof_mounted_pv,climate_neutrality,2050,SVK,tw,2.7894505206897794e-06
roof_mounted_pv,climate_neutrality,2050,SVN,tw,2.4072985027582636e-06
roof_mounted_pv,climate_neutrality,2050,SWE,tw,9.691531742714045e-06
wind_onshore,climate_neutrality,2050,AUT,tw,0.09435456240893156
wind_onshore,climate_neutrality,2050,BEL,tw,0.023764297379865185
wind_onshore,climate_neutrality,2050,BGR,tw,1.4473624983406137e-05
wind_onshore,climate_neutrality,2050,CYP,tw,0.004976323075446621
wind_onshore,climate_neutrality,2050,CZE,tw,0.00041222202087522165
wind_onshore,climate_neutrality,2050,DEU,tw,0.23022848742929541
wind_onshore,climate_neutrality,2050,DNK,tw,0.16261932315827118
wind_onshore,climate_neutrality,2050,ESP,tw,0.07748956328197616
wind_onshore,climate_neutrality,2050,EST,tw,0.05195700740995366
wind_onshore,climate_neutrality,2050,FIN,tw,0.05046362718629597
wind_onshore,climate_neutrality,2050,FRA,tw,0.21001289568207898
wind_onshore,climate_neutrality,2050,GBR,tw,0.6178080465941573
wind_onshore,climate_neutrality,2050,GRC,tw,9.900755658228259e-05
wind_onshore,climate_neutrality,2050,HRV,tw,4.534998210495418e-05
wind_onshore,climate_neutrality,2050,HUN,tw,0.09196495903470489
wind_onshore,climate_neutrality,2050,IRL,tw,0.16945837042580442
wind_onshore,climate_neutrality,2050,ITA,tw,0.10102450393764303
wind_onshore,climate_neutrality,2050,LTU,tw,5.895539437797975e-05
wind_onshore,climate_neutrality,2050,LUX,tw,0.0058378065556764416
