scenario,year,region,unit,value
climate_neutrality,2050,AUT,twh,3.5671500114670586e-06
climate_neutrality,2050,BEL,twh,1.024689796106317e-06
climate_neutrality,2050,BGR,twh,1.0304008950551928e-06
climate_neutrality,2050,CYP,twh,8.433065213463394e-07
climate_neutrality,2050,CZE,twh,2.3791338268388526e-06
climate_neutrality,2050,DEU,twh,8.275529059404536e-06
climate_neutrality,2050,DNK,twh,2.483052402904554e-06
climate_neutrality,2050,ESP,twh,9.747465705091217e-06
climate_neutrality,2050,EST,twh,2.1214237868673793e-06
climate_neutrality,2050,FIN,twh,3.900314115414501e-06
climate_neutrality,2050,FRA,twh,1.692312905455123e-05
climate_neutrality,2050,GBR,twh,6.538764273414028e-06
climate_neutrality,2050,GRC,twh,1.5908763662133455e-06
climate_neutrality,2050,HRV,twh,8.47718521197192e-07
climate_neutrality,2050,HUN,twh,1.0781248836074256e-06
climate_neutrality,2050,IRL,twh,8.236344427294029e-07
climate_neutrality,2050,ITA,twh,4.653701363170752e-06
climate_neutrality,2050,LTU,twh,1.511668776800976e-06
climate_neutrality,2050,LUX,twh,9.80446062215399e-07
climate_neutrality,2050,LVA,twh,1.2572135480634153e-06
climate_neutrality,2050,NLD,twh,1.0062429068783058e-06
climate_neutrality,2050,POL,twh,5.8912395991823406e-06
climate_neutrality,2050,PRT,twh,1.6527246705090107e-06
climate_neutrality,2050,ROU,twh,3.3119072859914547e-06
climate_neutrality,2050,SVK,twh,1.0713729252286989e-06
climate_neutrality,2050,SVN,twh,9.78498516556726e-07
climate_neutrality,2050,SWE,twh,6.1913173689790666e-06
