scenario,techs,locs,carriers,unit,year,nameplate_capacity
diag-npi,roof_mounted_pv,SWE,electricity,tw,2030,1.038085089588906e-06
diag-npi,wind_offshore,DEU,electricity,tw,2030,7.462516056972634e-07
diag-npi,wind_offshore,DNK,electricity,tw,2030,2.01374275065154e-06
diag-npi,wind_offshore,ESP,electricity,tw,2030,1.5949724328124506e-06
diag-npi,wind_offshore,FRA,electricity,tw,2030,2.238271209497195e-06
diag-npi,wind_offshore,GBR,electricity,tw,2030,1.7015472730534097e-06
diag-npi,wind_offshore,ITA,electricity,tw,2030,1.282459021996291e-06
diag-npi,wind_offshore,MNE,electricity,tw,2030,8.134977427339541e-07
diag-npi,wind_offshore,NLD,electricity,tw,2030,2.018664028425264e-06
diag-npi,wind_offshore,NOR,electricity,tw,2030,1.666419301348704e-06
diag-npi,wind_offshore,POL,electricity,tw,2030,5.740398487934275e-07
diag-npi,wind_offshore,PRT,electricity,tw,2030,5.041915134356132e-07
diag-npi,wind_offshore,SWE,electricity,tw,2030,7.73296786154033e-07
diag-npi,wind_onshore,CHE,electricity,tw,2030,1.1204107498624803e-06
diag-npi,wind_onshore,DEU,electricity,tw,2030,1.2008320555201863e-05
diag-npi,wind_onshore,DNK,electricity,tw,2030,0.069145025709668
diag-npi,wind_onshore,ESP,electricity,tw,2030,2.304446805324895e-05
diag-npi,wind_onshore,FRA,electricity,tw,2030,0.0206332584903449
diag-npi,wind_onshore,GBR,electricity,tw,2030,0.0887327871139572
diag-npi,wind_onshore,ITA,electricity,tw,2030,1.431501089485682e-05
diag-npi,wind_onshore,MNE,electricity,tw,2030,8.438454627182356e-07
diag-npi,wind_onshore,NLD,electricity,tw,2030,0.0498322152377443
diag-npi,wind_onshore,NOR,electricity,tw,2030,8.633074393463256e-06
diag-npi,wind_onshore,POL,electricity,tw,2030,8.970135634696244e-06
diag-npi,wind_onshore,PRT,electricity,tw,2030,0.0010328896915414
diag-npi,wind_onshore,SWE,electricity,tw,2030,6.722169259053477e-06
diag-npi,ccgt,CHE,electricity,tw,2050,6.07989448185238e-07
