model,scenario,region,variable,unit,year,value
calliope,diag-npi,SWE,Capacity|Electricity|Solar|PV,tw,2050,0.03462812727147845
calliope,diag-npi,CHE,Capacity|Electricity|Wind,tw,2030,1.1204107498624803e-06
calliope,diag-npi,CHE,Capacity|Electricity|Wind,tw,2050,5.051318828698212e-07
calliope,diag-npi,DEU,Capacity|Electricity|Wind,tw,2030,1.2754572160899126e-05
calliope,diag-npi,DEU,Capacity|Electricity|Wind,tw,2050,0.043981071076048865
calliope,diag-npi,DNK,Capacity|Electricity|Wind,tw,2030,0.06914703945241865
calliope,diag-npi,DNK,Capacity|Electricity|Wind,tw,2050,0.08139782805164787
calliope,diag-npi,ESP,Capacity|Electricity|Wind,tw,2030,2.4639440486061403e-05
calliope,diag-npi,ESP,Capacity|Electricity|Wind,tw,2050,0.04333944735654634
calliope,diag-npi,FRA,Capacity|Electricity|Wind,tw,2030,0.0206354967615544
calliope,diag-npi,FRA,Capacity|Electricity|Wind,tw,2050,0.14086266656952606
calliope,diag-npi,GBR,Capacity|Electricity|Wind,tw,2030,0.08873448866123025
calliope,diag-npi,GBR,Capacity|Electricity|Wind,tw,2050,0.1687801002221579
calliope,diag-npi,ITA,Capacity|Electricity|Wind,tw,2030,1.559746991685311e-05
calliope,diag-npi,ITA,Capacity|Electricity|Wind,tw,2050,0.03364754224989008
calliope,diag-npi,MNE,Capacity|Electricity|Wind,tw,2030,1.6573432054521897e-06
calliope,diag-npi,MNE,Capacity|Electricity|Wind,tw,2050,2.895394620606696e-06
calliope,diag-npi,NLD,Capacity|Electricity|Wind,tw,2030,0.049834233901772725
calliope,diag-npi,NLD,Capacity|Electricity|Wind,tw,2050,0.0817758470099196
calliope,diag-npi,NOR,Capacity|Electricity|Wind,tw,2030,1.029949369481196e-05
calliope,diag-npi,NOR,Capacity|Electricity|Wind,tw,2050,0.00812807454068047
calliope,diag-npi,POL,Capacity|Electricity|Wind,tw,2030,9.544175483489672e-06
calliope,diag-npi,POL,Capacity|Electricity|Wind,tw,2050,0.02061264098713147
calliope,diag-npi,PRT,Capacity|Electricity|Wind,tw,2030,0.0010333938830548357
calliope,diag-npi,PRT,Capacity|Electricity|Wind,tw,2050,0.04207950822307137
calliope,diag-npi,SWE,Capacity|Electricity|Wind,tw,2030,7.4954660452075095e-06
calliope,diag-npi,SWE,Capacity|Electricity|Wind,tw,2050,0.041280160044559554
calliope,diag-npi,CHE,Capacity|Electricity|Gas|CCGT,tw,2030,7.052268637378355e-07
calliope,diag-npi,DEU,Capacity|Electricity|Gas|CCGT,tw,2030,9.392077638116888e-07
calliope,diag-npi,DNK,Capacity|Electricity|Gas|CCGT,tw,2030,7.011482172343103e-07
calliope,diag-npi,ESP,Capacity|Electricity|Gas|CCGT,tw,2030,1.3933409209781283e-06
calliope,diag-npi,FRA,Capacity|Electricity|Gas|CCGT,tw,2030,1.984707865537064e-06
calliope,diag-npi,GBR,Capacity|Electricity|Gas|CCGT,tw,2030,7.410883579386218e-07
calliope,diag-npi,ITA,Capacity|Electricity|Gas|CCGT,tw,2030,9.917319332282592e-07
calliope,diag-npi,MNE,Capacity|Electricity|Gas|CCGT,tw,2030,3.566141369606873e-07
calliope,diag-npi,NLD,Capacity|Electricity|Gas|CCGT,tw,2030,4.048349385313807e-07
calliope,diag-npi,NOR,Capacity|Electricity|Gas|CCGT,tw,2030,8.443526094276531e-07
calliope,diag-npi,POL,Capacity|Electricity|Gas|CCGT,tw,2030,7.014707387889643e-07
calliope,diag-npi,PRT,Capacity|Electricity|Gas|CCGT,tw,2030,6.024323211198322e-07
calliope,diag-npi,SWE,Capacity|Electricity|Gas|CCGT,tw,2030,5.013577756456487e-07
calliope,diag-npi,CHE,Capacity|Electricity|Gas|CCGT,tw,2050,6.07989448185238e-07
calliope,diag-npi,DEU,Capacity|Electricity|Gas|CCGT,tw,2050,2.105494375082921e-06
calliope,diag-npi,DNK,Capacity|Electricity|Gas|CCGT,tw,2050,4.407667917994157e-07
calliope,diag-npi,ESP,Capacity|Electricity|Gas|CCGT,tw,2050,6.631371323561852e-07
calliope,diag-npi,FRA,Capacity|Electricity|Gas|CCGT,tw,2050,8.286430540484497e-07
calliope,diag-npi,GBR,Capacity|Electricity|Gas|CCGT,tw,2050,1.9790406103265902e-06
calliope,diag-npi,ITA,Capacity|Electricity|Gas|CCGT,tw,2050,2.824013460802613e-06
calliope,diag-npi,MNE,Capacity|Electricity|Gas|CCGT,tw,2050,2.770084774201315e-07
calliope,diag-npi,NLD,Capacity|Electricity|Gas|CCGT,tw,2050,3.029283697771089e-07
calliope,diag-npi,NOR,Capacity|Electricity|Gas|CCGT,tw,2050,1.1904053127300025e-06
calliope,diag-npi,POL,Capacity|Electricity|Gas|CCGT,tw,2050,1.3465325126299665e-06
calliope,diag-npi,PRT,Capacity|Electricity|Gas|CCGT,tw,2050,7.139850581676722e-07
calliope,diag-npi,SWE,Capacity|Electricity|Gas|CCGT,tw,2050,1.0000670293694248e-06
calliope,diag-npi,DEU,Capacity|Electricity|Coal,tw,2030,0.0460325746783112
calliope,diag-npi,DNK,Capacity|Electricity|Coal,tw,2030,0.0027209345947756
calliope,diag-npi,ESP,Capacity|Electricity|Coal,tw,2030,0.0096150162857575
calliope,diag-npi,FRA,Capacity|Electricity|Coal,tw,2030,0.0029299368858384
calliope,diag-npi,GBR,Capacity|Electricity|Coal,tw,2030,0.0109545695350481
calliope,diag-npi,ITA,Capacity|Electricity|Coal,tw,2030,0.0084279178279889
calliope,diag-npi,MNE,Capacity|Electricity|Coal,tw,2030,0.0002099969067762
calliope,diag-npi,NLD,Capacity|Electricity|Coal,tw,2030,0.0051139438462013
calliope,diag-npi,POL,Capacity|Electricity|Coal,tw,2030,0.0288705091075609
calliope,diag-npi,PRT,Capacity|Electricity|Coal,tw,2030,0.0017559742930985
calliope,diag-npi,SWE,Capacity|Electricity|Coal,tw,2030,0.0001299895848686
calliope,diag-npi,DEU,Capacity|Electricity|Coal,tw,2050,0.0460329552605697
calliope,diag-npi,DNK,Capacity|Electricity|Coal,tw,2050,2.903179471936177e-06
calliope,diag-npi,ESP,Capacity|Electricity|Coal,tw,2050,0.0096150973527136
calliope,diag-npi,FRA,Capacity|Electricity|Coal,tw,2050,0.0017703400741881
calliope,diag-npi,GBR,Capacity|Electricity|Coal,tw,2050,1.6845413962214948e-06
calliope,diag-npi,ITA,Capacity|Electricity|Coal,tw,2050,0.0084279988961788
calliope,diag-npi,MNE,Capacity|Electricity|Coal,tw,2050,0.0001304350998434
calliope,diag-npi,NLD,Capacity|Electricity|Coal,tw,2050,0.005113979223829
calliope,diag-npi,POL,Capacity|Electricity|Coal,tw,2050,0.0275312262363297
calliope,diag-npi,PRT,Capacity|Electricity|Coal,tw,2050,0.0017559479765454
calliope,diag-npi,SWE,Capacity|Electricity|Coal,tw,2050,4.267828353346775e-07
calliope,diag-npi,CHE,Capacity|Electricity|Nuclear,tw,2030,0.003373
calliope,diag-npi,DEU,Capacity|Electricity|Nuclear,tw,2030,0.012085
calliope,diag-npi,ESP,Capacity|Electricity|Nuclear,tw,2030,0.0075724
calliope,diag-npi,FRA,Capacity|Electricity|Nuclear,tw,2030,0.0631299999999999
calliope,diag-npi,GBR,Capacity|Electricity|Nuclear,tw,2030,0.012638
calliope,diag-npi,NLD,Capacity|Electricity|Nuclear,tw,2030,0.000492
calliope,diag-npi,SWE,Capacity|Electricity|Nuclear,tw,2030,0.009525
calliope,diag-npi,FRA,Capacity|Electricity|Nuclear,tw,2050,0.0220001506956049
calliope,diag-npi,GBR,Capacity|Electricity|Nuclear,tw,2050,0.0089
calliope,diag-npi,CHE,Capacity|Electricity|Hydro|Pumped Storage,tw,2030,0.00424765
calliope,diag-npi,DEU,Capacity|Electricity|Hydro|Pumped Storage,tw,2030,0.00642472
calliope,diag-npi,ESP,Capacity|Electricity|Hydro|Pumped Storage,tw,2030,0.007823272
calliope,diag-npi,FRA,Capacity|Electricity|Hydro|Pumped Storage,tw,2030,0.005064
calliope,diag-npi,GBR,Capacity|Electricity|Hydro|Pumped Storage,tw,2030,0.002905
calliope,diag-npi,ITA,Capacity|Electricity|Hydro|Pumped Storage,tw,2030,0.0079626
calliope,diag-npi,NOR,Capacity|Electricity|Hydro|Pumped Storage,tw,2030,0.0013443
calliope,diag-npi,POL,Capacity|Electricity|Hydro|Pumped Storage,tw,2030,0.001705
calliope,diag-npi,PRT,Capacity|Electricity|Hydro|Pumped Storage,tw,2030,0.00364
calliope,diag-npi,SWE,Capacity|Electricity|Hydro|Pumped Storage,tw,2030,9.2e-05
calliope,diag-npi,CHE,Capacity|Electricity|Hydro|Pumped Storage,tw,2050,0.00424765
calliope,diag-npi,DEU,Capacity|Electricity|Hydro|Pumped Storage,tw,2050,0.00642472
calliope,diag-npi,ESP,Capacity|Electricity|Hydro|Pumped Storage,tw,2050,0.007823272
calliope,diag-npi,FRA,Capacity|Electricity|Hydro|Pumped Storage,tw,2050,0.005064
calliope,diag-npi,GBR,Capacity|Electricity|Hydro|Pumped Storage,tw,2050,0.002905
calliope,diag-npi,ITA,Capacity|Electricity|Hydro|Pumped Storage,tw,2050,0.0079626
calliope,diag-npi,NOR,Capacity|Electricity|Hydro|Pumped Storage,tw,2050,0.0013443
calliope,diag-npi,POL,Capacity|Electricity|Hydro|Pumped Storage,tw,2050,0.001705
calliope,diag-npi,PRT,Capacity|Electricity|Hydro|Pumped Storage,tw,2050,0.00364
calliope,diag-npi,SWE,Capacity|Electricity|Hydro|Pumped Storage,tw,2050,9.2e-05
