model,scenario,region,variable,unit,year,value
calliope,diag-npi,DEU,Fixed Cost|Electricity|Nuclear,billion_2015eur_per_tw_per_year,2030,76.116
calliope,diag-npi,DEU,Fixed Cost|Electricity|Hydro|Pumped Storage,billion_2015eur_per_tw_per_year,2030,7.357260000000002
calliope,diag-npi,DNK,Fixed Cost|Electricity|Hydro|Pumped Storage,billion_2015eur_per_tw_per_year,2030,7.357260000000001
calliope,diag-npi,ESP,Fixed Cost|Electricity|Nuclear,billion_2015eur_per_tw_per_year,2030,76.116
calliope,diag-npi,ESP,Fixed Cost|Electricity|Hydro|Pumped Storage,billion_2015eur_per_tw_per_year,2030,7.35726
calliope,diag-npi,FRA,Fixed Cost|Electricity|Nuclear,billion_2015eur_per_tw_per_year,2030,76.116
calliope,diag-npi,FRA,Fixed Cost|Electricity|Hydro|Pumped Storage,billion_2015eur_per_tw_per_year,2030,7.357259999999998
calliope,diag-npi,GBR,Fixed Cost|Electricity|Nuclear,billion_2015eur_per_tw_per_year,2030,76.116
calliope,diag-npi,GBR,Fixed Cost|Electricity|Hydro|Pumped Storage,billion_2015eur_per_tw_per_year,2030,7.357260000000001
calliope,diag-npi,ITA,Fixed Cost|Electricity|Hydro|Pumped Storage,billion_2015eur_per_tw_per_year,2030,7.357260000000001
calliope,diag-npi,MNE,Fixed Cost|Electricity|Hydro|Pumped Storage,billion_2015eur_per_tw_per_year,2030,7.357260000000001
calliope,diag-npi,NLD,Fixed Cost|Electricity|Nuclear,billion_2015eur_per_tw_per_year,2030,76.116
calliope,diag-npi,NLD,Fixed Cost|Electricity|Hydro|Pumped Storage,billion_2015eur_per_tw_per_year,2030,7.357260000000001
calliope,diag-npi,NOR,Fixed Cost|Electricity|Hydro|Pumped Storage,billion_2015eur_per_tw_per_year,2030,7.357260000000002
calliope,diag-npi,POL,Fixed Cost|Electricity|Hydro|Pumped Storage,billion_2015eur_per_tw_per_year,2030,7.357260000000001
calliope,diag-npi,PRT,Fixed Cost|Electricity|Hydro|Pumped Storage,billion_2015eur_per_tw_per_year,2030,7.357260000000001
calliope,diag-npi,SWE,Fixed Cost|Electricity|Nuclear,billion_2015eur_per_tw_per_year,2030,76.116
calliope,diag-npi,SWE,Fixed Cost|Electricity|Hydro|Pumped Storage,billion_2015eur_per_tw_per_year,2030,7.357260000000001
calliope,diag-npi,DEU,Emission Rate|CO2|Electricity|Coal,MtCO2_per_twh,2030,0.34
calliope,diag-npi,DNK,Emission Rate|CO2|Electricity|Coal,MtCO2_per_twh,2030,0.34
calliope,diag-npi,ESP,Emission Rate|CO2|Electricity|Coal,MtCO2_per_twh,2030,0.34
calliope,diag-npi,FRA,Emission Rate|CO2|Electricity|Coal,MtCO2_per_twh,2030,0.34
calliope,diag-npi,GBR,Emission Rate|CO2|Electricity|Coal,MtCO2_per_twh,2030,0.34
calliope,diag-npi,ITA,Emission Rate|CO2|Electricity|Coal,MtCO2_per_twh,2030,0.34
calliope,diag-npi,MNE,Emission Rate|CO2|Electricity|Coal,MtCO2_per_twh,2030,0.34
calliope,diag-npi,NLD,Emission Rate|CO2|Electricity|Coal,MtCO2_per_twh,2030,0.34
calliope,diag-npi,POL,Emission Rate|CO2|Electricity|Coal,MtCO2_per_twh,2030,0.34
calliope,diag-npi,PRT,Emission Rate|CO2|Electricity|Coal,MtCO2_per_twh,2030,0.34
calliope,diag-npi,SWE,Emission Rate|CO2|Electricity|Coal,MtCO2_per_twh,2030,0.34
calliope,diag-npi,CHE,Primary Energy|Hydro,twh,2030,31.952518182299166
calliope,diag-npi,CHE,Primary Energy|Hydro,twh,2050,31.24849095219987
calliope,diag-npi,DEU,Primary Energy|Hydro,twh,2030,20.612516664158193
calliope,diag-npi,DEU,Primary Energy|Hydro,twh,2050,19.69058664522681
calliope,diag-npi,ESP,Primary Energy|Hydro,twh,2030,34.279011271060796
calliope,diag-npi,ESP,Primary Energy|Hydro,twh,2050,34.06813287901035
calliope,diag-npi,FRA,Primary Energy|Hydro,twh,2030,66.09660532371338
calliope,diag-npi,FRA,Primary Energy|Hydro,twh,2050,63.988497568629484
calliope,diag-npi,GBR,Primary Energy|Hydro,twh,2030,5.488404187791696
calliope,diag-npi,GBR,Primary Energy|Hydro,twh,2050,5.165494454305151
calliope,diag-npi,ITA,Primary Energy|Hydro,twh,2030,48.31732962950288
calliope,diag-npi,ITA,Primary Energy|Hydro,twh,2050,45.343845426212354
calliope,diag-npi,MNE,Primary Energy|Hydro,twh,2030,2.089637569514636
calliope,diag-npi,MNE,Primary Energy|Hydro,twh,2050,2.0279079101063333
calliope,diag-npi,NOR,Primary Energy|Hydro,twh,2030,138.4337374585565
calliope,diag-npi,NOR,Primary Energy|Hydro,twh,2050,138.43507508960394
calliope,diag-npi,POL,Primary Energy|Hydro,twh,2030,1.996762767078622
calliope,diag-npi,POL,Primary Energy|Hydro,twh,2050,1.9070772728734042
calliope,diag-npi,PRT,Primary Energy|Hydro,twh,2030,12.286929128273862
calliope,diag-npi,PRT,Primary Energy|Hydro,twh,2050,11.432915448016617
calliope,diag-npi,SWE,Primary Energy|Hydro,twh,2030,62.3318731124244
calliope,diag-npi,SWE,Primary Energy|Hydro,twh,2050,62.33282150597497
calliope,diag-npi,CHE,Primary Energy|Solar,twh,2030,32.62826519006012
calliope,diag-npi,CHE,Primary Energy|Solar,twh,2050,41.037840096538126
calliope,diag-npi,DEU,Primary Energy|Solar,twh,2030,191.56975066121873
calliope,diag-npi,DEU,Primary Energy|Solar,twh,2050,519.9845325969263
calliope,diag-npi,DNK,Primary Energy|Solar,twh,2030,0.006380390273796201
calliope,diag-npi,DNK,Primary Energy|Solar,twh,2050,0.0054466713296569
calliope,diag-npi,ESP,Primary Energy|Solar,twh,2030,295.91331463001524
calliope,diag-npi,ESP,Primary Energy|Solar,twh,2050,345.5283169470022
calliope,diag-npi,FRA,Primary Energy|Solar,twh,2030,211.71343756722615
calliope,diag-npi,FRA,Primary Energy|Solar,twh,2050,316.0287455091129
calliope,diag-npi,GBR,Primary Energy|Solar,twh,2030,0.015019664150787999
calliope,diag-npi,GBR,Primary Energy|Solar,twh,2050,43.0727946128859
calliope,diag-npi,ITA,Primary Energy|Solar,twh,2030,356.28449427244783
calliope,diag-npi,ITA,Primary Energy|Solar,twh,2050,427.55295178764163
calliope,diag-npi,MNE,Primary Energy|Solar,twh,2030,7.539445837682696
calliope,diag-npi,MNE,Primary Energy|Solar,twh,2050,7.768088313962212
calliope,diag-npi,NLD,Primary Energy|Solar,twh,2030,0.0094468761438751
calliope,diag-npi,NLD,Primary Energy|Solar,twh,2050,0.0205139166006816
calliope,diag-npi,NOR,Primary Energy|Solar,twh,2030,0.0058442868434726
calliope,diag-npi,NOR,Primary Energy|Solar,twh,2050,0.009041830640962499
calliope,diag-npi,POL,Primary Energy|Solar,twh,2030,37.35871762690319
calliope,diag-npi,POL,Primary Energy|Solar,twh,2050,214.68286603749155
calliope,diag-npi,PRT,Primary Energy|Solar,twh,2030,63.9700632147715
calliope,diag-npi,PRT,Primary Energy|Solar,twh,2050,18.818802099580424
calliope,diag-npi,SWE,Primary Energy|Solar,twh,2030,0.006263380674616801
calliope,diag-npi,SWE,Primary Energy|Solar,twh,2050,32.36627140514986
calliope,diag-npi,CHE,Primary Energy|Wind,twh,2030,0.0007493784045182
calliope,diag-npi,CHE,Primary Energy|Wind,twh,2050,0.0003642715620888
calliope,diag-npi,DEU,Primary Energy|Wind,twh,2030,0.0285377128847511
calliope,diag-npi,DEU,Primary Energy|Wind,twh,2050,119.59905305535354
calliope,diag-npi,DNK,Primary Energy|Wind,twh,2030,255.12251226155175
calliope,diag-npi,DNK,Primary Energy|Wind,twh,2050,299.4383762286721
calliope,diag-npi,ESP,Primary Energy|Wind,twh,2030,0.06492265229294529
calliope,diag-npi,ESP,Primary Energy|Wind,twh,2050,131.48701605711327
calliope,diag-npi,FRA,Primary Energy|Wind,twh,2030,70.45281886502733
calliope,diag-npi,FRA,Primary Energy|Wind,twh,2050,448.6956061943413
calliope,diag-npi,GBR,Primary Energy|Wind,twh,2030,340.33260128741125
calliope,diag-npi,GBR,Primary Energy|Wind,twh,2050,657.5261547608314
calliope,diag-npi,ITA,Primary Energy|Wind,twh,2030,0.0346633000779633
calliope,diag-npi,ITA,Primary Energy|Wind,twh,2050,79.85864016232921
calliope,diag-npi,MNE,Primary Energy|Wind,twh,2030,0.0014222342634555999
calliope,diag-npi,MNE,Primary Energy|Wind,twh,2050,0.0007911360267303999
calliope,diag-npi,NLD,Primary Energy|Wind,twh,2030,158.2324675308952
calliope,diag-npi,NLD,Primary Energy|Wind,twh,2050,259.65470751340837
calliope,diag-npi,NOR,Primary Energy|Wind,twh,2030,0.026587699319523102
calliope,diag-npi,NOR,Primary Energy|Wind,twh,2050,26.132771003316986
calliope,diag-npi,POL,Primary Energy|Wind,twh,2030,0.020829743115837
calliope,diag-npi,POL,Primary Energy|Wind,twh,2050,53.58752957303224
calliope,diag-npi,PRT,Primary Energy|Wind,twh,2030,3.589819686441384
calliope,diag-npi,PRT,Primary Energy|Wind,twh,2050,143.74295807927868
calliope,diag-npi,SWE,Primary Energy|Wind,twh,2030,0.019867861639369398
calliope,diag-npi,SWE,Primary Energy|Wind,twh,2050,136.84573808173025
calliope,diag-npi,CHE,Primary Energy|Fossil,twh,2030,18.668866257092034
calliope,diag-npi,CHE,Primary Energy|Fossil,twh,2050,5.626538728349747
calliope,diag-npi,DEU,Primary Energy|Fossil,twh,2030,75.99917348401497
calliope,diag-npi,DEU,Primary Energy|Fossil,twh,2050,50.00452473604536
calliope,diag-npi,DNK,Primary Energy|Fossil,twh,2030,21.597281438198983
calliope,diag-npi,DNK,Primary Energy|Fossil,twh,2050,14.451196989815491
calliope,diag-npi,ESP,Primary Energy|Fossil,twh,2030,118.34803553403265
calliope,diag-npi,ESP,Primary Energy|Fossil,twh,2050,79.53846318863383
calliope,diag-npi,FRA,Primary Energy|Fossil,twh,2030,161.70261846278748
calliope,diag-npi,FRA,Primary Energy|Fossil,twh,2050,108.02243975428313
calliope,diag-npi,GBR,Primary Energy|Fossil,twh,2030,65.04775267223238
calliope,diag-npi,GBR,Primary Energy|Fossil,twh,2050,42.99733352578592
calliope,diag-npi,ITA,Primary Energy|Fossil,twh,2030,64.81686341049198
calliope,diag-npi,ITA,Primary Energy|Fossil,twh,2050,42.95072523065458
calliope,diag-npi,MNE,Primary Energy|Fossil,twh,2030,0.0229989807885403
calliope,diag-npi,MNE,Primary Energy|Fossil,twh,2050,0.003618072080783
calliope,diag-npi,NLD,Primary Energy|Fossil,twh,2030,10.977233881109814
calliope,diag-npi,NLD,Primary Energy|Fossil,twh,2050,7.082412737519238
calliope,diag-npi,NOR,Primary Energy|Fossil,twh,2030,5.940198716538651
calliope,diag-npi,NOR,Primary Energy|Fossil,twh,2050,8.349860009479277
calliope,diag-npi,POL,Primary Energy|Fossil,twh,2030,53.918761873213086
calliope,diag-npi,POL,Primary Energy|Fossil,twh,2050,36.03446367909245
calliope,diag-npi,PRT,Primary Energy|Fossil,twh,2030,21.41708619558844
calliope,diag-npi,PRT,Primary Energy|Fossil,twh,2050,14.531488668834008
calliope,diag-npi,SWE,Primary Energy|Fossil,twh,2030,43.28409368526068
calliope,diag-npi,SWE,Primary Energy|Fossil,twh,2050,28.97126103831728
calliope,diag-npi,DEU,Primary Energy|Fossil,twh,2030,951.8594342647574
calliope,diag-npi,DEU,Primary Energy|Fossil,twh,2050,435.47410640640834
calliope,diag-npi,DNK,Primary Energy|Fossil,twh,2030,34.11288345909779
calliope,diag-npi,DNK,Primary Energy|Fossil,twh,2050,0.0029170052430449
calliope,diag-npi,ESP,Primary Energy|Fossil,twh,2030,109.83464739191912
calliope,diag-npi,ESP,Primary Energy|Fossil,twh,2050,66.6480724349425
calliope,diag-npi,FRA,Primary Energy|Fossil,twh,2030,25.983089624090976
calliope,diag-npi,FRA,Primary Energy|Fossil,twh,2050,14.338253878622924
calliope,diag-npi,GBR,Primary Energy|Fossil,twh,2030,230.333941403092
calliope,diag-npi,GBR,Primary Energy|Fossil,twh,2050,0.0053752710540959
calliope,diag-npi,ITA,Primary Energy|Fossil,twh,2030,124.81647027985464
calliope,diag-npi,ITA,Primary Energy|Fossil,twh,2050,100.56235960032896
calliope,diag-npi,MNE,Primary Energy|Fossil,twh,2030,1.604554679646326
calliope,diag-npi,MNE,Primary Energy|Fossil,twh,2050,0.9415689301889888
calliope,diag-npi,NLD,Primary Energy|Fossil,twh,2030,92.20665018441704
calliope,diag-npi,NLD,Primary Energy|Fossil,twh,2050,41.159883238724056
calliope,diag-npi,POL,Primary Energy|Fossil,twh,2030,632.2225437423858
calliope,diag-npi,POL,Primary Energy|Fossil,twh,2050,288.20441270318787
calliope,diag-npi,PRT,Primary Energy|Fossil,twh,2030,23.97614064385316
calliope,diag-npi,PRT,Primary Energy|Fossil,twh,2050,3.878905978900876
calliope,diag-npi,SWE,Primary Energy|Fossil,twh,2030,2.845644122325333
