scenario,techs,locs,carriers,unit,year,flow_out_sum
diag-npi,waste_supply,SWE,waste,twh,2030,18.48527891880853
diag-npi,wind_offshore,DEU,electricity,twh,2030,0.0026985550026472
diag-npi,wind_offshore,DNK,electricity,twh,2030,0.0014073819977408
diag-npi,wind_offshore,ESP,electricity,twh,2030,0.0043453904919604
diag-npi,wind_offshore,FRA,electricity,twh,2030,0.0068562652715488
diag-npi,wind_offshore,GBR,electricity,twh,2030,0.0066230258491117
diag-npi,wind_offshore,ITA,electricity,twh,2030,0.0024993621862184
diag-npi,wind_offshore,MNE,electricity,twh,2030,0.0002381715229137
diag-npi,wind_offshore,NLD,electricity,twh,2030,0.0014744570911252
diag-npi,wind_offshore,NOR,electricity,twh,2030,0.0055829333132881
diag-npi,wind_offshore,POL,electricity,twh,2030,0.001648045893826
diag-npi,wind_offshore,PRT,electricity,twh,2030,0.0015747875991279
diag-npi,wind_offshore,SWE,electricity,twh,2030,0.0018554713470854
diag-npi,wind_onshore,CHE,electricity,twh,2030,0.0007493784045182
diag-npi,wind_onshore,DEU,electricity,twh,2030,0.0258391578821039
diag-npi,wind_onshore,DNK,electricity,twh,2030,255.121104879554
diag-npi,wind_onshore,ESP,electricity,twh,2030,0.0605772618009849
diag-npi,wind_onshore,FRA,electricity,twh,2030,70.44596259975577
diag-npi,wind_onshore,GBR,electricity,twh,2030,340.3259782615621
diag-npi,wind_onshore,ITA,electricity,twh,2030,0.0321639378917449
diag-npi,wind_onshore,MNE,electricity,twh,2030,0.0011840627405419
diag-npi,wind_onshore,NLD,electricity,twh,2030,158.2309930738041
diag-npi,wind_onshore,NOR,electricity,twh,2030,0.021004766006235
diag-npi,wind_onshore,POL,electricity,twh,2030,0.019181697222011
diag-npi,wind_onshore,PRT,electricity,twh,2030,3.588244898842256
diag-npi,wind_onshore,SWE,electricity,twh,2030,0.018012390292284
diag-npi,diesel_supply,CHE,diesel,twh,2050,5.626538728349747
diag-npi,diesel_supply,DEU,diesel,twh,2050,50.00452473604536
diag-npi,diesel_supply,DNK,diesel,twh,2050,14.451196989815491
diag-npi,diesel_supply,ESP,diesel,twh,2050,79.53846318863383
diag-npi,diesel_supply,FRA,diesel,twh,2050,108.02243975428313
diag-npi,diesel_supply,GBR,diesel,twh,2050,42.99733352578592
diag-npi,diesel_supply,ITA,diesel,twh,2050,42.95072523065458
diag-npi,diesel_supply,MNE,diesel,twh,2050,0.003618072080783
diag-npi,diesel_supply,NLD,diesel,twh,2050,7.082412737519238
diag-npi,diesel_supply,NOR,diesel,twh,2050,8.349860009479277
diag-npi,diesel_supply,POL,diesel,twh,2050,36.03446367909245
diag-npi,diesel_supply,PRT,diesel,twh,2050,14.531488668834008
diag-npi,diesel_supply,SWE,diesel,twh,2050,28.97126103831728
diag-npi,hydro_reservoir,CHE,electricity,twh,2050,22.12812521311072
diag-npi,hydro_reservoir,DEU,electricity,twh,2050,1.194266948717439
diag-npi,hydro_reservoir,ESP,electricity,twh,2050,33.56681681257355
diag-npi,hydro_reservoir,FRA,electricity,twh,2050,39.64534041119019
diag-npi,hydro_reservoir,GBR,electricity,twh,2050,2.095572549113609
diag-npi,hydro_reservoir,ITA,electricity,twh,2050,23.562119852113
diag-npi,hydro_reservoir,MNE,electricity,twh,2050,1.1356190304796447
diag-npi,hydro_reservoir,NOR,electricity,twh,2050,138.43507508960394
diag-npi,hydro_reservoir,POL,electricity,twh,2050,1.8450891212399487
diag-npi,hydro_reservoir,PRT,electricity,twh,2050,5.45226292018719
diag-npi,hydro_reservoir,SWE,electricity,twh,2050,53.234662377879786
diag-npi,hydro_run_of_river,CHE,electricity,twh,2050,9.120365739089149
diag-npi,hydro_run_of_river,DEU,electricity,twh,2050,18.49631969650937
diag-npi,hydro_run_of_river,ESP,electricity,twh,2050,0.5013160664368003
diag-npi,hydro_run_of_river,FRA,electricity,twh,2050,24.343157157439297
diag-npi,hydro_run_of_river,GBR,electricity,twh,2050,3.069921905191542
diag-npi,hydro_run_of_river,ITA,electricity,twh,2050,21.781725574099355
diag-npi,hydro_run_of_river,MNE,electricity,twh,2050,0.8922888796266885
diag-npi,hydro_run_of_river,POL,electricity,twh,2050,0.0619881516334554
diag-npi,hydro_run_of_river,PRT,electricity,twh,2050,5.980652527829427
diag-npi,hydro_run_of_river,SWE,electricity,twh,2050,9.098159128095183
diag-npi,kerosene_supply,CHE,kerosene,twh,2050,0.0033573294272504
diag-npi,kerosene_supply,DNK,kerosene,twh,2050,748.8663194752315
diag-npi,kerosene_supply,MNE,kerosene,twh,2050,1.0583879441755097e-06
diag-npi,kerosene_supply,NOR,kerosene,twh,2050,0.0004316038879489
diag-npi,methane_supply,CHE,methane,twh,2050,69.58616056498742
diag-npi,methane_supply,DEU,methane,twh,2050,708.3002935021692
